subject,relation,object
Rage Quit (2),Proposal Summary,"This proposal suggests implementing a ""rage quit"" option for members of a DAO to claim their share of the treasury. The contract is designed to allow members to transfer their tokens to the contract and receive their book value of the treasury. The contract will be"
Proposal 248,Proposal Budget,3268 ETH
Proposal 248,Team,"The team is proposing the implementation of a ""rage quit"" contract for a"
Proposal 248,Transfer To,0x95852813766e4a3112891fe6a47100023d61e5a4
Proposal 248,Transfer Value,3268000000000000000000
Proposal 248,Voted By,5
Proposal 248,Opposed By,48
Proposal 247,Proposer,0x046c54a8c88397c9b222b979f7b6efe9077f4bde
Proposal 247,quorumVotes,63
Proposal 247,Status,CANCELLED
Proposal 247,Proposal,Rage Quit
Rage Quit,Proposal Summary,"The proposal is to implement a ""rage quit"" option for members of a DAO called NounsDAO, which would allow them to leave the DAO and receive their share of the treasury. The contract would be funded in rounds, with each round consisting of"
Proposal 247,Proposal Budget,3268 ETH
Proposal 247,Team,"The team is proposing the implementation of a ""rage quit"" contract for the"
Proposal 247,transfer To,0xae7ab96520de3a18e5e111b5eaab095312d7fe84
Proposal 247,transfer Value,3268000000000000000000
Proposal 247,Voted By,0
Proposal 247,Opposed By,0
Proposal 246,Proposer,0x538c4f2afa012911851dadf0655cb61377e7a8eb
Proposal 246,quorumVotes,87
Proposal 246,Status,CANCELLED
Proposal 246,Proposal,Nouns Proposal Tracker
Nouns Proposal Tracker,Proposal Summary,"The proposal suggests creating a tracker to monitor the status of proposals funded by Nouns. Currently, it is difficult to determine the status of funded proposals and there is a need for a central place to view the end results of completed proposals. The proposed solution"
Proposal 246,Proposal Budget,33 ETH
Proposal 246,Proposal Deadline,3 months
Proposal 246,Team,"The team is proposing the creation of a ""nouns proposal tracker"" platform"
Proposal 246,Transfer To,0x4e142fe48c71092e78be1f1082fa8ce0cb15c354
Proposal 246,Transfer Value,33000000000000000000
Proposal 246,Voted By,1
Proposal 246,Opposed By,3
Proposal 245,Proposer,0x008c84421da5527f462886cec43d2717b686a7e4
Proposal 245,quorumVotes,64
Proposal 245,Status,EXECUTED
Proposal 245,Proposal,Nouns: A Movie
Nouns: A Movie,Proposal Summary,"This text is a proposal for funding a pilot for a series of episodic content that will be produced by Atrium, a network of independent artists and creators. The proposal asks for $125,000 USD for a 90-day period to cover"
Proposal 245,Proposal Budget,"USD 125,000"
Proposal 245,Team,The team described in this context is a group of creatives from Atr
Proposal 245,Transfer To,0x4f2acdc74f6941390d9b1804fabc3e780388cfe5
Proposal 245,Transfer Value,115221145440268755927
Proposal 245,Voted By,42
Proposal 245,Opposed By,3
Proposal 244,Proposer,0x5ca40836e6473a495148972a13dd9014797c0e92
Proposal 244,quorumVotes,69
Proposal 244,Status,EXECUTED
Proposal 244,Proposal,Prop Lot: Where Ideas Find People
Prop Lot: Where Ideas Find People,Proposal Summary,"Prop Lot is a proposed idea marketplace for Nouns, aimed to make it easier for ideas and builders to be considered by the DAO and for Nouners to signal what they want to see done and funded. The marketplace will separate ideas from proposals,"
Proposal 244,Proposal Budget,60 ETH
Proposal 244,Proposal Deadline,4 months
Proposal 244,Team,"The team is proposing to build an ideas marketplace called ""Prop Lot"" for"
Proposal 244,Transfer To,0x5ca40836e6473a495148972a13dd9014797c0e92
Proposal 244,Transfer Value,60000000000000000000
Proposal 244,Voted By,36
Proposal 244,Opposed By,10
Proposal 243,Proposer,0x5ca40836e6473a495148972a13dd9014797c0e92
Proposal 243,quorumVotes,62
Proposal 243,Status,CANCELLED
Proposal 243,Proposal,Prop Lot: Where Ideas find People
Prop Lot: Where Ideas find People,Proposal Summary,"Prop Lot is a proposed idea marketplace for nouns aimed at making it easier for ideas and builders to be considered by the DAO and for nouners to signal what they want to see done and funded. The marketplace will separate ideas from proposals, allowing for more"
Proposal 243,Proposal Budget,60 ETH
Proposal 243,Proposal Deadline,4 months
Proposal 243,Team,"The team is proposing to build an ideas marketplace for nouns, called ""Prop"
Proposal 243,Transfer To,0x5ca40836e6473a495148972a13dd9014797c0e92
Proposal 243,Transfer Value,60000000000000000000
Proposal 243,Voted By,0
Proposal 243,Opposed By,0
Proposal 242,Proposer,0xb52235dc0751ce6e171c51fbf459fd6637c6ccc8
Proposal 242,quorumVotes,94
Proposal 242,Status,EXECUTED
Proposal 242,Proposal,House of Nouns v2 (revised)
House of Nouns v2 (revised),Proposal Summary,"House of Nouns is seeking 95 ETH of funding to develop a full suite of tools for DAO governance, including an ideas board, drafts, feedback, and more places for discussion. They aim to empower Nouns to contribute, find consensus before going"
Proposal 242,Proposal Budget,95 ETH
Proposal 242,Proposal Deadline,5 months
Proposal 242,Team,The team is proposing to continue developing House of Nouns for the next five
The team is proposing to continue developing House of Nouns for the next five,Team Size,2
Proposal 242,Transfer To,0x57dadf47646c7b4313ac9c6f71faee1fb550391b
Proposal 242,Transfer Value,95000000000000000000
Proposal 242,Voted By,37
Proposal 242,Opposed By,7
Proposal 241,Proposer,0xaec4075e4fc8ce829bc4f0cfd5e2fa10dd2b12d1
Proposal 241,quorumVotes,93
Proposal 241,Status,ACTIVE
Proposal 241,Proposal,Functional Props (Take 2)
Functional Props (Take 2),Proposal Summary,"This text is about the proposal of ""functional props"" for DAOs, which would allow for non-binary outcomes on votes. The proposal includes two deliverables: a generalized NFT random distributor and a contract that enables proposers to suggest a funding range"
Proposal 241,Proposal Budget,38 ETH
Proposal 241,Team,"The team described in this context is proposing the use of ""functional props"""
Proposal 241,Previous Proposal,Proposal 238
Proposal 241,Transfer To,0xaec4075e4fc8ce829bc4f0cfd5e2fa10dd2b12d1
Proposal 241,Transfer Value,38000000000000000000
Proposal 241,Voted By,39
Proposal 241,Opposed By,15
Proposal 289,Proposal Type,Retain
Proposal 289,Proposal Type,Nounish
Proposal 289,Proposal Type,Funding
Proposal 289,Proposal Type,Season
Proposal 288,Proposal Type,100 nounish things
Proposal 288,Proposal Type,Nounish
Proposal 287,Proposal Type,Nounish friends
Proposal 287,Proposal Type,Minifigures
Proposal 286,Proposal Type,Nouns wet wipes
Proposal 286,Proposal Type,Fmcg
Proposal 285,Proposal Type,Nft.brasil
Proposal 285,Proposal Type,São paulo
Proposal 284,Proposal Type,Global pizza party
Proposal 284,Proposal Type,Pizzadao
Proposal 283,Proposal Type,Clothing
Proposal 283,Proposal Type,Every day
Proposal 283,Proposal Type,Forever
Proposal 283,Proposal Type,Wears
Proposal 281,Proposal Type,Nouncomputers
Proposal 281,Proposal Type,Nounbread
Proposal 280,Proposal Type,Nftr
Proposal 280,Proposal Type,Nft identity registry
Proposal 279,Proposal Type,Ethos
Proposal 279,Proposal Type,Cryptonative
Proposal 279,Proposal Type,Mobile os
Proposal 278,Proposal Type,Mint
Proposal 278,Proposal Type,Stand with crypto
Proposal 278,Proposal Type,Nft
Proposal 277,Proposal Type,Open source
Proposal 277,Proposal Type,Hardware
Proposal 277,Proposal Type,Production
Proposal 277,Proposal Type,N
Proposal 276,Proposal Type,Nounish playground
Proposal 276,Proposal Type,Mobile platformer game
Proposal 275,Proposal Type,Treasury diversification
Proposal 275,Proposal Type,Swap
Proposal 275,Proposal Type,Wst
Proposal 274,Proposal Type,Oni residency
Proposal 274,Proposal Type,Nouns community
Proposal 274,Proposal Type,Discord
Proposal 273,Proposal Type,Warpedworld
Proposal 273,Proposal Type,Nouns
Proposal 273,Proposal Type,Web3
Proposal 273,Proposal Type,Collaboration
Proposal 272,Proposal Type,Autobidder
Proposal 272,Proposal Type,Withdraw
Proposal 272,Proposal Type,Eth
Proposal 271,Proposal Type,The nominal hero
Proposal 271,Proposal Type,Middlegrade novel
Proposal 270,Proposal Type,Archives.wtf
Proposal 270,Proposal Type,Funding
Proposal 270,Proposal Type,Maintaining
Proposal 269,Proposal Type,Gnarly ep
Proposal 269,Proposal Type,Lil bubble
Proposal 268,Proposal Type,Nouns
Proposal 268,Proposal Type,Autobidder
Proposal 268,Proposal Type,Trial
Proposal 266,Proposal Type,Mechanical keyboard
Proposal 266,Proposal Type,Nouns
Proposal 266,Proposal Type,Mk
Proposal 266,Proposal Type,Sub
Proposal 265,Proposal Type,Noun wet wipes
Proposal 265,Proposal Type,Branded fast moving consumer
Proposal 264,Proposal Type,Launching
Proposal 264,Proposal Type,Nouns
Proposal 264,Proposal Type,Vacation
Proposal 264,Proposal Type,Summer
Proposal 263,Proposal Type,Nouns esports
Proposal 263,Proposal Type,Csgo
Proposal 263,Proposal Type,D
Proposal 262,Proposal Type,Showcase
Proposal 262,Proposal Type,Nouns
Proposal 262,Proposal Type,3dprint
Proposal 261,Proposal Type,Dynamic quorum updates
Proposal 261,Proposal Type,Minimum quorum
Proposal 260,Proposal Type,Forgeries
Proposal 260,Proposal Type,Omega
Proposal 260,Proposal Type,Public goods
Proposal 260,Proposal Type,Hyper
Proposal 259,Proposal Type,Nouns
Proposal 259,Proposal Type,Short shorts
Proposal 259,Proposal Type,Bonus pack
Proposal 258,Proposal Type,Nouns
Proposal 258,Proposal Type,W3bstock
Proposal 258,Proposal Type,New
Proposal 257,Proposal Type,Nouns fair
Proposal 257,Proposal Type,Ethglobal hackathons
Proposal 256,Proposal Type,Triple back flip
Proposal 256,Proposal Type,Wheelchair
Proposal 256,Proposal Type,Documentary
Proposal 255,Proposal Type,Nouns
Proposal 255,Proposal Type,Wallet service
Proposal 255,Proposal Type,Nfts
Proposal 254,Proposal Type,Nouns deli
Proposal 254,Proposal Type,Melbourne
Proposal 254,Proposal Type,Franchise model
Proposal 253,Proposal Type,Nouns hack week
Proposal 253,Proposal Type,Decentralized
Proposal 253,Proposal Type,Communityrun
Proposal 252,Proposal Type,Nfj
Proposal 252,Proposal Type,Nouns
Proposal 252,Proposal Type,State property
Proposal 252,Proposal Type,He
Proposal 251,Proposal Type,Showcase
Proposal 251,Proposal Type,Nouns
Proposal 251,Proposal Type,3dprint
Proposal 250,Proposal Type,Noun nyms
Proposal 250,Proposal Type,Pseudonymity
Proposal 249,Proposal Type,Nouns
Proposal 249,Proposal Type,Block graffiti
Proposal 249,Proposal Type,Eth
Proposal 249,Proposal Type,Solo
Proposal 248,Proposal Type,Rage quit
Proposal 248,Proposal Type,Resubmission
Proposal 248,Proposal Type,Txn bundle
Proposal 247,Proposal Type,Rage quit
Proposal 247,Proposal Type,Rage quit contract
Proposal 247,Proposal Type,Dao
Proposal 246,Proposal Type,Nouns
Proposal 246,Proposal Type,Proposal tracker
Proposal 246,Proposal Type,Operate
Proposal 246,Proposal Type,Track
Proposal 245,Proposal Type,Movie
Proposal 245,Proposal Type,Funding
Proposal 245,Proposal Type,Pilot
Proposal 245,Proposal Type,Preproduction
Proposal 244,Proposal Type,Prop lot
Proposal 244,Proposal Type,Ideas marketplace
Proposal 244,Proposal Type,Nouns
Proposal 243,Proposal Type,Prop lot
Proposal 243,Proposal Type,Ideas marketplace
Proposal 243,Proposal Type,Nouns
Proposal 242,Proposal Type,House of nouns
Proposal 242,Proposal Type,Funding
Proposal 242,Proposal Type,Mvp
Proposal 241,Proposal Type,Functional props
Proposal 241,Proposal Type,Resubmission
Proposal 241,Proposal Type,Deliverables
